Rank	Team	Score	IITD_Students
1	linbo_iacas	1.00000	No
2	MY	1.00000	No
3	Ook Kim	1.00000	No
4	Gang of X	1.00000	No
5	XuleiYang	1.00000	No
6	RezaMarvastiNejad	1.00000	No
7	DongGe	1.00000	No
8	Bogdan Melnik	1.00000	No
9	lystdo	1.00000	No
10	__SP	1.00000	No
11	SAASTN	1.00000	No
12	skilleX	1.00000	No
13	AlexKH	1.00000	No
14	Furious10 000	1.00000	No
15	Vasilenko5	1.00000	No
16	c1450220sor	1.00000	No
17	Peterj	0.99971	No
18	kirk	0.99971	No
19	KanaChou	0.99957	No
20	zhaoyiding	0.99943	No
21	li bin	0.99943	No
22	coder-james	0.99929	No
23	Vladimir Osin	0.99914	No
24	pEman	0.99914	No
25	AdrianoMoala	0.99900	No
26	artemZholus	0.99900	No
27	Md. Sumsuddin	0.99900	No
28	See--	0.99886	No
29	Omeprazole	0.99871	No
30	Soap	0.99871	Yes
31	PrasetyaUtama	0.99857	No
32	Armin	0.99857	No
33	Ray_Cord	0.99843	No
34	KULDEEP SHARMA	0.99843	No
35	liangkuai	0.99829	No
36	dunzanburren	0.99829	No
37	tmulc18	0.99814	No
38	xinghedyc	0.99814	No
39	ThomasHall	0.99800	No
40	krag!	0.99786	Yes
41	EhMadan	0.99786	Yes
42	Hackslash	0.99771	Yes
43	littletree	0.99771	No
44	ÄllaTarighati	0.99757	No
45	Vikas Reddy	0.99757	No
46	Yuxin Wu	0.99729	No
47	D_L	0.99729	No
48	RenyangMeng	0.99729	No
49	Pratap Dangeti	0.99729	No
50	nolsigan	0.99714	No
51	SauKr	0.99714	Yes
52	Sergei Bernadtckii	0.99700	No
53	rui	0.99700	No
54	Patrick Fichou	0.99643	No
55	kurapan	0.99643	No
56	Benjamin Derville	0.99629	No
57	AndreyLipatkin	0.99629	No
58	Chris Cross	0.99600	No
59	jireh	0.99600	No
60	Janos	0.99586	No
61	Luca 2	0.99586	No
62	GabrielVictorinoCardoso	0.99586	No
63	Abhai Kollara	0.99586	No
64	wwwwww	0.99571	No
65	tequiller	0.99571	No
66	LASSONO	0.99557	No
67	JoshJung	0.99557	No
68	LeoHsiunX	0.99529	No
69	Team GG	0.99529	Yes
70	toshi_k	0.99514	No
71	BIGDATA	0.99514	No
72	Quail	0.99500	No
73	Damien 2	0.99500	No
74	AndrewGreatorex	0.99486	No
75	clinkz 2	0.99486	No
76	bhas	0.99486	No
77	David 2810	0.99486	No
78	Justfor	0.99471	No
79	ØysteinSchønning-Johansen	0.99457	No
80	Osvaldo Pugliese	0.99457	No
81	ISaber	0.99457	No
82	liuyuefu	0.99443	No
83	Brad Trew	0.99443	No
84	Mahmoud GeMy	0.99429	No
85	Kevin4868	0.99414	No
86	klimovs	0.99400	No
87	A. Eckert	0.99400	No
88	Maksimov11	0.99386	No
89	Steve 3	0.99371	No
90	Radhakrishnan Guhan	0.99371	No
91	AmanBhatia	0.99371	No
92	firsec	0.99371	No
93	William 2	0.99371	No
94	GangZhang	0.99371	No
95	Андрей Клюев	0.99371	No
96	Bruno16	0.99357	No
97	axon	0.99357	No
98	MikeAir	0.99343	No
99	Su Tang	0.99343	No
100	heisenberg 3	0.99343	Yes
101	JaviWaitzel	0.99343	No
102	歪哥突然	0.99329	No
103	ssemenyuk	0.99329	No
104	AlGiLa	0.99329	No
105	aaaa 2	0.99314	No
106	Varsha Dhumal	0.99314	No
107	X. Xia	0.99314	No
108	DanielLungu	0.99300	No
109	Kien Nguyen	0.99286	No
110	pingjunlv	0.99286	No
111	Chetan Madhok	0.99286	No
112	B.C.	0.99286	No
113	muchas_gracias	0.99271	No
114	Florian PAQUET	0.99271	No
115	Lucas 2	0.99271	No
116	Carlos H. Villa Pinto	0.99271	No
117	Vasili Shushval	0.99271	No
118	borogove	0.99271	No
119	Fabien Tencé	0.99271	No
120	huixing	0.99271	No
121	Benybrahim	0.99271	No
122	Qing Liu	0.99271	No
123	SidN	0.99271	No
124	YuRayLi	0.99271	No
125	Nurul Akter Towhid	0.99271	No
126	Nikita Molostvov	0.99257	No
127	Aman Chauhan	0.99257	No
128	Pierre Cardona	0.99243	No
129	wangty	0.99229	No
130	AlekseyParamonov	0.99229	No
131	Codefellas	0.99229	Yes
132	jxt1234and2006	0.99229	No
133	muye5	0.99214	No
134	Daia Alexandru	0.99214	No
135	Infernus	0.99214	No
136	superizer	0.99214	No
137	Timur Islamov	0.99214	No
138	ShivaSitaraman	0.99214	No
139	Sven	0.99214	No
140	shaohui ruan	0.99214	No
141	Dene Farrell	0.99200	No
142	affemitwaffel	0.99200	No
143	ABE_	0.99200	No
144	AndreyBozhko	0.99200	No
145	JohnCrickett	0.99200	No
146	xingxinghanzi	0.99200	No
147	Zachary Ruzhinov	0.99200	No
148	AlexWellbelove	0.99200	No
149	Rafał Jankowski	0.99200	No
150	Reza Rasti	0.99186	No
151	Focsic@BE	0.99186	No
152	weiyus	0.99186	No
153	Kshitiz Sharma	0.99186	No
154	QuốcBảoĐỗ	0.99171	No
155	BlueWhale	0.99171	No
156	ZhixiangLi	0.99171	No
157	TheMajor	0.99157	No
158	Masato  Takahashi	0.99157	No
159	Harish Reddy	0.99157	No
160	神秘人	0.99157	No
161	Christian Salvatore	0.99157	No
162	Yesterdays	0.99157	No
163	vincento	0.99157	No
164	daryadedik	0.99157	No
165	Pavel Bogomolov	0.99143	No
166	Naqqash	0.99143	No
167	Patrick Carson	0.99143	No
168	ZhenyiLin	0.99143	No
169	iory	0.99143	No
170	abhishekkumar 2	0.99143	No
171	Ganit Jyotisi	0.99129	No
172	august	0.99129	No
