Rank	Team	Score
1	Riken Mehta	1.00000
2	AlexKH	1.00000
3	Gang of Three	1.00000
4	vyujing	0.99971
5	JeffreyXiao	0.99957
6	Andre lopes	0.99957
7	zhxfl	0.99957
8	li bin	0.99943
9	XuleiYang	0.99943
10	meurich	0.99929
11	darekk	0.99914
12	JoshJung	0.99914
13	Juris Krikis	0.99914
14	wangmj	0.99914
15	MitchSanders	0.99914
16	taeguk	0.99900
17	JimZ	0.99886
18	GregoryHao	0.99886
19	kirk	0.99886
20	Rakesh Ranjan	0.99857
21	Ray_Cord	0.99843
22	ZhiyangChou	0.99843
23	xiao 2	0.99843
24	Safta Catalin Mihai	0.99843
25	ThomasHall	0.99800
26	EhabAlbadawy	0.99800
27	Rajatthakur	0.99786
28	qidongqi	0.99786
29	ÄllaTarighati	0.99757
30	Eric van Riet Paap	0.99757
31	jiangpanonly1	0.99743
32	pbreithaupt	0.99743
33	randow	0.99729
34	Aleksey Kharlamov	0.99729
35	upupup	0.99729
36	wenliangtlh	0.99714
37	Wirt	0.99714
38	Nikolay Chervyakov	0.99657
39	Chris Cross	0.99657
40	YeqingLin	0.99643
41	tequiller	0.99643
42	xeyes	0.99614
43	PonSatangput	0.99614
44	Aldaron	0.99614
45	ManuelOdendahl	0.99586
46	Yessergire Mohamed	0.99571
47	klimovs	0.99571
48	Janos	0.99571
49	Bart Elen	0.99557
50	Russ Boucher	0.99557
51	chetan chauhan	0.99543
52	One	0.99543
53	ben robbins	0.99543
54	ØysteinSchønning-Johansen	0.99529
55	Georg	0.99514
56	Sergei Bernadtckii	0.99500
57	Aleksandr Voishchev	0.99500
58	ruleva1983	0.99471
59	Neurality_IT	0.99471
60	Pavel	0.99471
61	GeekFox	0.99457
62	HonggangHu	0.99443
63	Michael Konobeev	0.99443
64	pramodpatil	0.99443
65	jireh	0.99443
66	sohax	0.99443
67	韦峰	0.99414
68	Chao Xu	0.99400
69	zhaoyiding	0.99400
70	Reza Rasti	0.99400
71	Zp Bappi	0.99386
72	Dat Do	0.99386
73	utsav	0.99371
74	Eric James	0.99357
75	buhaozi	0.99357
76	ClausHolmgaard	0.99357
77	Kien Nguyen	0.99357
78	blaskowitz100	0.99357
79	jason, min	0.99343
80	KermitJedi	0.99343
81	kalaabala	0.99343
82	jeremie_db	0.99329
83	hwanji	0.99329
84	Paul Calley	0.99329
85	Armin	0.99329
86	BegueF	0.99300
