Rank	Team	Score	IITD_Students
1	Gang of Three	1.00000	No
2	linbo_iacas	1.00000	No
3	MY	1.00000	No
4	Ook Kim	1.00000	No
5	XuleiYang	1.00000	No
6	RezaMarvastiNejad	1.00000	No
7	DongGe	1.00000	No
8	Bogdan Melnik	1.00000	No
9	Peterj	0.99971	No
10	__SP	0.99971	No
11	zhaoyiding	0.99943	No
12	li bin	0.99943	No
13	meurich	0.99929	No
14	coder-james	0.99929	No
15	Juris Krikis	0.99914	No
16	wangmj	0.99914	No
17	MitchSanders	0.99914	No
18	Vladimir Osin	0.99914	No
19	pEman	0.99914	No
20	taeguk	0.99900	No
21	AdrianoMoala	0.99900	No
22	kirk	0.99886	No
23	Omeprazole	0.99871	No
24	PrasetyaUtama	0.99857	No
25	ZhiyangChou	0.99843	No
26	xiao 2	0.99843	No
27	Safta Catalin Mihai	0.99843	No
28	Ray_Cord	0.99843	No
29	tmulc18	0.99814	No
30	ThomasHall	0.99800	No
31	qidongqi	0.99786	No
32	krag!	0.99786	Yes
33	EhMadan	0.99786	Yes
34	Eric van Riet Paap	0.99757	No
35	ÄllaTarighati	0.99757	No
36	upupup	0.99729	No
37	Yuxin Wu	0.99729	No
38	D_L	0.99729	No
39	nolsigan	0.99714	No
40	Nikolay Chervyakov	0.99657	No
41	Chris Cross	0.99657	No
42	YeqingLin	0.99643	No
43	tequiller	0.99643	No
44	Patrick Fichou	0.99643	No
45	jireh	0.99600	No
46	ManuelOdendahl	0.99586	No
47	Janos	0.99586	No
48	Luca 2	0.99586	No
49	GabrielVictorinoCardoso	0.99586	No
50	Abhai Kollara	0.99586	No
51	Yessergire Mohamed	0.99571	No
52	klimovs	0.99571	No
53	wwwwww	0.99571	No
54	LASSONO	0.99557	No
55	chetan chauhan	0.99543	No
56	One	0.99543	No
57	ben robbins	0.99543	No
58	ØysteinSchønning-Johansen	0.99529	No
59	LeoHsiunX	0.99529	No
60	Team GG	0.99529	Yes
61	Russ Boucher	0.99514	No
62	Georg	0.99514	No
63	Sergei Bernadtckii	0.99500	No
64	Aleksandr Voishchev	0.99500	No
65	Quail	0.99500	No
66	AndrewGreatorex	0.99486	No
67	clinkz 2	0.99486	No
68	Justfor	0.99471	No
69	GeekFox	0.99457	No
70	Osvaldo Pugliese	0.99457	No
71	pramodpatil	0.99443	No
72	sohax	0.99443	No
73	liuyuefu	0.99443	No
74	Brad Trew	0.99443	No
75	Kevin4868	0.99414	No
76	Chao Xu	0.99400	No
77	Reza Rasti	0.99400	No
78	Bruno16	0.99371	No
79	Steve 3	0.99371	No
