Rank	Team	Score	IITD_Students
1	AlexKH	1.00000	No
2	Gang of Three	1.00000	No
3	linbo_iacas	1.00000	No
4	MY	1.00000	No
5	Ook Kim	1.00000	No
6	XuleiYang	1.00000	No
7	RezaMarvastiNejad	1.00000	No
8	zhxfl	0.99957	No
9	zhaoyiding	0.99943	No
10	li bin	0.99943	No
11	meurich	0.99929	No
12	coder-james	0.99929	No
13	Juris Krikis	0.99914	No
14	wangmj	0.99914	No
15	MitchSanders	0.99914	No
16	Vladimir Osin	0.99914	No
17	pEman	0.99914	No
18	taeguk	0.99900	No
19	AdrianoMoala	0.99900	No
20	kirk	0.99886	No
21	Omeprazole	0.99871	No
22	PrasetyaUtama	0.99857	No
23	ZhiyangChou	0.99843	No
24	xiao 2	0.99843	No
25	Safta Catalin Mihai	0.99843	No
26	tmulc18	0.99814	No
27	EhabAlbadawy	0.99800	No
28	ThomasHall	0.99800	No
29	qidongqi	0.99786	No
30	Eric van Riet Paap	0.99757	No
31	upupup	0.99729	No
32	Yuxin Wu	0.99729	No
33	D_L	0.99729	No
34	Nikolay Chervyakov	0.99657	No
35	Chris Cross	0.99657	No
36	YeqingLin	0.99643	No
37	tequiller	0.99643	No
38	Patrick Fichou	0.99643	No
39	jireh	0.99600	No
40	ManuelOdendahl	0.99586	No
41	Janos	0.99586	No
42	Luca 2	0.99586	No
43	GabrielVictorinoCardoso	0.99586	No
44	Yessergire Mohamed	0.99571	No
45	klimovs	0.99571	No
46	wwwwww	0.99571	No
47	Russ Boucher	0.99557	No
48	LASSONO	0.99557	No
49	chetan chauhan	0.99543	No
50	One	0.99543	No
51	ben robbins	0.99543	No
52	ØysteinSchønning-Johansen	0.99529	No
53	LeoHsiunX	0.99529	No
54	Georg	0.99514	No
55	Sergei Bernadtckii	0.99500	No
56	Aleksandr Voishchev	0.99500	No
57	Quail	0.99500	No
58	AndrewGreatorex	0.99486	No
59	clinkz 2	0.99486	No
60	Justfor	0.99471	No
61	GeekFox	0.99457	No
62	pramodpatil	0.99443	No
63	sohax	0.99443	No
64	liuyuefu	0.99443	No
65	Brad Trew	0.99443	No
66	Kevin4868	0.99414	No
67	Chao Xu	0.99400	No
68	Reza Rasti	0.99400	No
69	Bruno16	0.99371	No
70	Steve 3	0.99371	No
71	Radhakrishnan Guhan	0.99371	No
72	AmanBhatia	0.99371	No
73	firsec	0.99371	No
74	buhaozi	0.99357	No
75	ClausHolmgaard	0.99357	No
76	Kien Nguyen	0.99357	No
77	blaskowitz100	0.99357	No
78	Araldo van de Kraats	0.99357	No
79	KermitJedi	0.99343	No
80	kalaabala	0.99343	No
81	MikeAir	0.99343	No
82	Su Tang	0.99343	No
83	Armin	0.99329	No
84	歪哥突然	0.99329	No
85	aaaa 2	0.99314	No
86	Varsha Dhumal	0.99314	No
87	BegueF	0.99300	No
88	Denis Vlasov	0.99300	No
89	pingjunlv	0.99286	No
90	muchas_gracias	0.99271	No
91	Florian PAQUET	0.99271	No
92	Lucas 2	0.99271	No
93	Nikita Molostvov	0.99257	No
94	Ttkuma	0.99257	No
95	ingvar888	0.99243	No
96	misgod	0.99243	No
97	Laxmi Prajapat	0.99243	No
98	Pierre Cardona	0.99243	No
99	forDream	0.99229	No
100	Michele Vitali	0.99229	No
101	devmeow	0.99229	No
102	wangty	0.99229	No
103	AlekseyParamonov	0.99229	No
104	Annihilator	0.99214	No
105	iComing	0.99214	No
106	Fabien Tencé	0.99214	No
107	Ehsan Saghapour	0.99214	No
108	Ozanize	0.99214	No
109	srinivas mudhiraj	0.99214	No
110	MarcoCarnini	0.99214	No
111	TanyaSattaya-aphitan	0.99214	No
112	muye5	0.99214	No
113	Daia Alexandru	0.99214	No
114	Infernus	0.99214	No
115	yk28	0.99200	No
116	Dene Farrell	0.99200	No
117	affemitwaffel	0.99200	No
118	ShivaSitaraman	0.99200	No
119	ABE_	0.99200	No
120	Melsonius	0.99186	No
121	Allen Qin	0.99186	No
122	ДмитрийКиперов	0.99186	No
123	Hugo Martiniano	0.99186	No
124	Focsic@BE	0.99186	No
125	William 2	0.99186	No
126	weiyus	0.99186	No
127	QuốcBảoĐỗ	0.99171	No
128	BlueWhale	0.99171	No
129	DudleyDrummond-Hay	0.99157	No
130	PerfectMachine	0.99157	No
131	TheMajor	0.99157	No
132	Masato  Takahashi	0.99157	No
133	Harish Reddy	0.99157	No
134	神秘人	0.99157	No
135	Christian Salvatore	0.99157	No
136	Yesterdays	0.99157	No
137	akshaywalvekar	0.99143	No
138	Julian 3	0.99143	No
139	Pavel Bogomolov	0.99143	No
140	Naqqash	0.99143	No
141	Patrick Carson	0.99143	No
142	Carlos H. Villa Pinto	0.99143	No
143	ZhenyiLin	0.99143	No
144	marcovaldo	0.99129	No
145	MathiasFelixGruber	0.99129	No
146	wangyinan	0.99129	No
147	RaphaelCampos	0.99129	No
148	Omar Alexander Ruiz	0.99129	No
149	eberg	0.99129	No
150	Ganit Jyotisi	0.99129	No
151	august	0.99129	No
152	Alexandru Papiu	0.99129	No
