Rank	Team	Score	IITD_Students
0	Gang of Three	1.0	No
1	linbo_iacas	1.0	No
2	Ook Kim	1.0	No
3	MY	1.0	No
4	zhaoyiding	0.9994299999999999	No
5	meurich	0.99929	No
6	coder-james	0.99929	No
7	pEman	0.9991399999999999	No
8	wangmj	0.9991399999999999	No
9	Vladimir Osin	0.9991399999999999	No
10	MitchSanders	0.9991399999999999	No
11	AdrianoMoala	0.999	No
12	taeguk	0.999	No
13	kirk	0.9988600000000001	No
14	Omeprazole	0.99871	No
15	PrasetyaUtama	0.99857	No
16	Safta Catalin Mihai	0.9984299999999999	No
17	xiao 2	0.9984299999999999	No
18	ZhiyangChou	0.9984299999999999	No
19	tmulc18	0.9981399999999998	No
20	ThomasHall	0.998	No
21	qidongqi	0.9978600000000002	No
22	Eric van Riet Paap	0.9975700000000001	No
23	Yuxin Wu	0.99729	No
24	upupup	0.99729	No
25	Nikolay Chervyakov	0.9965700000000001	No
26	Chris Cross	0.9965700000000001	No
27	tequiller	0.9964299999999999	No
28	jireh	0.996	No
29	ManuelOdendahl	0.9958600000000001	No
30	Luca 2	0.9958600000000001	No
31	Janos	0.9958600000000001	No
32	Yessergire Mohamed	0.9957099999999999	No
33	wwwwww	0.9957099999999999	No
34	klimovs	0.9957099999999999	No
35	One	0.9954299999999999	No
36	ben robbins	0.9954299999999999	No
37	Russ Boucher	0.995398	No
38	ØysteinSchønning-Johansen	0.9951460000000001	No
39	Georg	0.9951399999999999	No
40	Aleksandr Voishchev	0.9950000000000001	No
41	Quail	0.9950000000000001	No
42	Sergei Bernadtckii	0.9950000000000001	No
43	clinkz 2	0.9948600000000001	No
44	AndrewGreatorex	0.9948600000000001	No
45	Justfor	0.99471	No
46	GeekFox	0.9945700000000001	No
47	liuyuefu	0.9944299999999999	No
48	Brad Trew	0.9944299999999999	No
49	pramodpatil	0.9944299999999999	No
50	sohax	0.9944299999999999	No
51	D_L	0.994318	No
52	LeoHsiunX	0.9942039999999999	No
53	Kevin4868	0.9941399999999999	No
54	Chao Xu	0.994	No
55	Reza Rasti	0.994	No
56	LASSONO	0.993942	No
57	Bruno16	0.99371	No
58	Radhakrishnan Guhan	0.99371	No
59	Steve 3	0.99371	No
60	blaskowitz100	0.9935700000000001	No
61	ClausHolmgaard	0.9935700000000001	No
62	Araldo van de Kraats	0.9935700000000001	No
63	Kien Nguyen	0.9935700000000001	No
64	buhaozi	0.9935700000000001	No
65	kalaabala	0.9934299999999998	No
66	KermitJedi	0.9934299999999998	No
67	Armin	0.99329	No
68	歪哥突然	0.99323	No
69	AmanBhatia	0.993196	No
70	MikeAir	0.9931439999999998	No
71	Varsha Dhumal	0.9931399999999999	No
72	aaaa 2	0.9931399999999999	No
73	Denis Vlasov	0.993	No
74	BegueF	0.993	No
75	pingjunlv	0.9928600000000001	No
76	muchas_gracias	0.99271	No
77	Ttkuma	0.9925700000000002	No
78	Nikita Molostvov	0.9925700000000002	No
79	Laxmi Prajapat	0.9924299999999999	No
80	ingvar888	0.9924299999999999	No
81	misgod	0.9924299999999999	No
82	Pierre Cardona	0.9924299999999999	No
83	AlekseyParamonov	0.99229	No
84	Michele Vitali	0.99229	No
85	wangty	0.99229	No
86	devmeow	0.99229	No
87	Fabien Tencé	0.99214	No
88	Daia Alexandru	0.99214	No
89	TanyaSattaya-aphitan	0.99214	No
90	srinivas mudhiraj	0.99214	No
91	Ehsan Saghapour	0.99214	No
92	MarcoCarnini	0.99214	No
93	muye5	0.99214	No
94	Ozanize	0.99214	No
95	yk28	0.992	No
96	Dene Farrell	0.992	No
97	affemitwaffel	0.992	No
98	ShivaSitaraman	0.992	No
99	Hugo Martiniano	0.9918600000000001	No
100	Allen Qin	0.9918600000000001	No
101	ДмитрийКиперов	0.9918600000000001	No
102	Focsic@BE	0.9918600000000001	No
103	William 2	0.9918600000000001	No
104	BlueWhale	0.9917100000000001	No
105	QuốcBảoĐỗ	0.9917100000000001	No
106	PerfectMachine	0.9915700000000001	No
107	Harish Reddy	0.9915700000000001	No
108	神秘人	0.9915700000000001	No
109	TheMajor	0.9915700000000001	No
110	Masato  Takahashi	0.9915700000000001	No
111	Julian 3	0.9914299999999999	No
112	Patrick Carson	0.9914299999999999	No
113	Naqqash	0.9914299999999999	No
114	Pavel Bogomolov	0.9914299999999999	No
115	akshaywalvekar	0.9914299999999999	No
116	Alexandru Papiu	0.99129	No
117	Yuichi Iwanami	0.99129	No
118	wangyinan	0.99129	No
119	Ganit Jyotisi	0.99129	No
120	eberg	0.99129	No
121	august	0.99129	No
122	MathiasFelixGruber	0.99129	No
123	marcovaldo	0.99129	No
124	RaphaelCampos	0.99129	No
125	Omar Alexander Ruiz	0.99129	No
126	Jakub Svehla	0.9911399999999999	No
127	IshanSodhi	0.9911399999999999	No
128	ishan12345	0.9911399999999999	No
129	uomcse_efinix	0.9911399999999999	No
130	callofdutyops	0.9911399999999999	No
131	star	0.9909999999999999	No
132	MichaelWang	0.9909999999999999	No
133	pengchengluo	0.9909999999999999	No
134	Nikita Verkhovin	0.9909999999999999	No
135	SayaliShirode	0.9909999999999999	No
136	LookingForEntryLevelJob	0.9909999999999999	No
137	Mokii	0.9909999999999999	No
138	Jordan Webster	0.9908600000000001	No
139	Björn Lunt	0.9908600000000001	No
140	Dixon	0.9908600000000001	No
