Rank	Team	Score	IITD_Students
1	MY	1.00000	No
2	Ook Kim	1.00000	No
3	Gang of X	1.00000	No
4	XuleiYang	1.00000	No
5	RezaMarvastiNejad	1.00000	No
6	DongGe	1.00000	No
7	Bogdan Melnik	1.00000	No
8	lystdo	1.00000	No
9	__SP	1.00000	No
10	SAASTN	1.00000	No
11	skilleX	1.00000	No
12	AlexKH	1.00000	No
13	linbo_iacas	1.00000	No
14	Furious10 000	1.00000	No
15	Vasilenko5	1.00000	No
16	c1450220sor	1.00000	No
17	MaheshwaranM	1.00000	No
18	Peterj	0.99971	No
19	kirk	0.99971	No
20	KanaChou	0.99957	No
21	zhaoyiding	0.99943	No
22	li bin	0.99943	No
23	coder-james	0.99929	No
24	pEman	0.99914	No
25	AdrianoMoala	0.99900	No
26	artemZholus	0.99900	No
27	Md. Sumsuddin	0.99900	No
28	See--	0.99886	No
29	vsaptaram	0.99886	No
30	Omeprazole	0.99871	No
31	Soap	0.99871	Yes
32	EMdigitizer	0.99871	Yes
33	PrasetyaUtama	0.99857	No
34	Armin	0.99857	No
35	Ray_Cord	0.99843	No
36	KULDEEP SHARMA	0.99843	No
37	liangkuai	0.99829	No
38	dunzanburren	0.99829	No
39	tmulc18	0.99814	No
40	xinghedyc	0.99814	No
41	ThomasHall	0.99800	No
42	krag!	0.99786	Yes
43	EhMadan	0.99786	Yes
44	Hackslash	0.99771	Yes
45	littletree	0.99771	No
46	ÄllaTarighati	0.99757	No
47	Vikas Reddy	0.99757	No
48	Yuxin Wu	0.99729	No
49	D_L	0.99729	No
50	RenyangMeng	0.99729	No
51	Pratap Dangeti	0.99729	No
52	nolsigan	0.99714	No
53	SauKr	0.99714	Yes
54	Sergei Bernadtckii	0.99700	No
55	rui	0.99700	No
56	Havoc	0.99686	Yes
57	uhfband	0.99686	No
58	Patrick Fichou	0.99643	No
59	kurapan	0.99643	No
60	Benjamin Derville	0.99629	No
61	AndreyLipatkin	0.99629	No
62	pmil	0.99614	No
63	jireh	0.99600	No
64	Luca 2	0.99586	No
65	GabrielVictorinoCardoso	0.99586	No
66	Abhai Kollara	0.99586	No
67	wwwwww	0.99571	No
68	tequiller	0.99571	No
69	Maxim 2	0.99571	No
70	Charmender	0.99571	Yes
71	LASSONO	0.99557	No
72	JoshJung	0.99557	No
73	chitrita	0.99557	No
74	David 2810	0.99557	No
75	Behzad Bagheri Behrouz	0.99543	No
76	LeoHsiunX	0.99529	No
77	Team GG	0.99529	Yes
78	ØysteinSchønning-Johansen	0.99529	No
79	toshi_k	0.99514	No
80	BIGDATA	0.99514	No
81	Damien 2	0.99500	No
82	clinkz 2	0.99486	No
83	bhas	0.99486	No
84	Justfor	0.99471	No
85	Russ Boucher	0.99471	No
86	AndrewGreatorex	0.99457	No
87	Osvaldo Pugliese	0.99457	No
88	ISaber	0.99457	No
89	Guillermo González Sánchez	0.99457	No
90	Brad Trew	0.99443	No
91	lushang	0.99443	No
92	Mahmoud GeMy	0.99429	No
93	Kevin4868	0.99414	No
94	A. Eckert	0.99400	No
95	Maksimov11	0.99386	No
96	Steve 3	0.99371	No
97	Radhakrishnan Guhan	0.99371	No
98	AmanBhatia	0.99371	No
99	firsec	0.99371	No
100	William 2	0.99371	No
101	GangZhang	0.99371	No
102	Андрей Клюев	0.99371	No
103	axon	0.99357	No
104	MikeAir	0.99343	No
105	Su Tang	0.99343	No
106	heisenberg 3	0.99343	Yes
107	JaviWaitzel	0.99343	No
108	歪哥突然	0.99329	No
109	ssemenyuk	0.99329	No
110	AlGiLa	0.99329	No
111	X. Xia	0.99314	No
112	DanielLungu	0.99300	No
113	ViralParekh	0.99300	No
114	Chetan Madhok	0.99286	No
115	B.C.	0.99286	No
116	Florian PAQUET	0.99271	No
117	Lucas 2	0.99271	No
118	Carlos H. Villa Pinto	0.99271	No
119	Vasili Shushval	0.99271	No
120	borogove	0.99271	No
121	Fabien Tencé	0.99271	No
122	huixing	0.99271	No
123	Benybrahim	0.99271	No
124	Qing Liu	0.99271	No
125	SidN	0.99271	No
126	YuRayLi	0.99271	No
127	Nurul Akter Towhid	0.99271	No
128	Quazar	0.99271	No
129	WeCodeR	0.99271	Yes
130	LustigerGuanaco	0.99271	No
131	Paul D	0.99271	No
