Rank	Team	Score	IITD_Students
1	Gang of Three	1.00000	No
2	linbo_iacas	1.00000	No
3	MY	1.00000	No
4	Ook Kim	1.00000	No
5	XuleiYang	1.00000	No
6	RezaMarvastiNejad	1.00000	No
7	DongGe	1.00000	No
8	Bogdan Melnik	1.00000	No
9	lystdo	1.00000	No
10	__SP	1.00000	No
11	SAASTN	1.00000	No
12	Peterj	0.99971	No
13	zhaoyiding	0.99943	No
14	li bin	0.99943	No
15	meurich	0.99929	No
16	coder-james	0.99929	No
17	wangmj	0.99914	No
18	MitchSanders	0.99914	No
19	Vladimir Osin	0.99914	No
20	pEman	0.99914	No
21	taeguk	0.99900	No
22	AdrianoMoala	0.99900	No
23	kirk	0.99886	No
24	See--	0.99886	No
25	Omeprazole	0.99871	No
26	PrasetyaUtama	0.99857	No
27	xiao 2	0.99843	No
28	Safta Catalin Mihai	0.99843	No
29	Ray_Cord	0.99843	No
30	KULDEEP SHARMA	0.99843	No
31	tmulc18	0.99814	No
32	ThomasHall	0.99800	No
33	qidongqi	0.99786	No
34	krag!	0.99786	Yes
35	EhMadan	0.99786	Yes
36	Hackslash	0.99771	Yes
37	ÄllaTarighati	0.99757	No
38	upupup	0.99729	No
39	Yuxin Wu	0.99729	No
40	D_L	0.99729	No
41	nolsigan	0.99714	No
42	SauKr	0.99714	Yes
43	Eric van Riet Paap	0.99686	No
44	Chris Cross	0.99657	No
45	tequiller	0.99643	No
46	Patrick Fichou	0.99643	No
47	Benjamin Derville	0.99629	No
48	jireh	0.99600	No
49	Janos	0.99586	No
50	Luca 2	0.99586	No
51	GabrielVictorinoCardoso	0.99586	No
52	Abhai Kollara	0.99586	No
53	klimovs	0.99571	No
54	wwwwww	0.99571	No
55	LASSONO	0.99557	No
56	AndreyLipatkin	0.99557	No
57	ben robbins	0.99543	No
58	LeoHsiunX	0.99529	No
59	Team GG	0.99529	Yes
60	Georg	0.99514	No
61	littletree	0.99514	No
62	toshi_k	0.99514	No
63	Sergei Bernadtckii	0.99500	No
64	Aleksandr Voishchev	0.99500	No
65	Quail	0.99500	No
66	Yessergire Mohamed	0.99486	No
67	AndrewGreatorex	0.99486	No
68	clinkz 2	0.99486	No
69	Justfor	0.99471	No
70	ØysteinSchønning-Johansen	0.99457	No
71	Osvaldo Pugliese	0.99457	No
72	Nikolay Chervyakov	0.99443	No
73	pramodpatil	0.99443	No
74	sohax	0.99443	No
75	liuyuefu	0.99443	No
76	Brad Trew	0.99443	No
77	Kevin4868	0.99414	No
78	Reza Rasti	0.99400	No
79	A. Eckert	0.99400	No
