Rank	Team	Score	IITD_Students
0	RezaMarvastiNejad	1.0000000000000002	No
1	linbo_iacas	1.0000000000000002	No
2	XuleiYang	1.0000000000000002	No
3	Ook Kim	1.0000000000000002	No
4	MY	1.0000000000000002	No
5	Bogdan Melnik	1.0000000000000002	No
6	DongGe	1.0000000000000002	No
7	__SP	0.9999736363636366	No
8	Peterj	0.99971	No
9	zhaoyiding	0.9994299999999999	No
10	li bin	0.9994299999999999	No
11	coder-james	0.99929	No
12	kirk	0.9992463636363637	No
13	pEman	0.9991399999999999	No
14	AdrianoMoala	0.9989999999999999	No
15	Omeprazole	0.9987099999999998	No
16	PrasetyaUtama	0.99857	No
17	Ray_Cord	0.9984299999999997	No
18	tmulc18	0.99814	No
19	ThomasHall	0.9980000000000002	No
20	EhMadan	0.9978600000000003	Yes
21	krag!	0.9978600000000003	Yes
22	ÄllaTarighati	0.9975700000000001	No
23	Yuxin Wu	0.99729	No
24	D_L	0.99729	No
25	nolsigan	0.9971399999999999	No
26	Patrick Fichou	0.9964299999999997	No
27	Sergei Bernadtckii	0.9961436363636363	No
28	jireh	0.9959999999999998	No
29	GabrielVictorinoCardoso	0.9958600000000003	No
30	Luca 2	0.9958600000000003	No
31	Abhai Kollara	0.9958600000000003	No
32	wwwwww	0.9957100000000002	No
33	LASSONO	0.9955700000000002	No
34	Team GG	0.9952900000000001	Yes
35	LeoHsiunX	0.9952900000000001	No
36	clinkz 2	0.9948600000000001	No
37	AndrewGreatorex	0.9948336363636364	No
38	ØysteinSchønning-Johansen	0.9947663636363635	No
39	SAASTN	0.9947527272727275	No
40	Armin	0.9947300000000001	No
41	Justfor	0.9947099999999999	No
42	Benjamin Derville	0.9946263636363635	No
43	Osvaldo Pugliese	0.9945699999999998	No
44	Brad Trew	0.9944299999999998	No
45	Kevin4868	0.9941399999999997	No
46	AmanBhatia	0.9937100000000002	No
47	firsec	0.9937100000000002	No
48	Radhakrishnan Guhan	0.9937100000000002	No
49	Steve 3	0.9937100000000002	No
50	Bruno16	0.9935554545454547	No
51	MikeAir	0.9934300000000001	No
52	Su Tang	0.9934300000000001	No
